field of work for Germany,Count,Percentage,Percentage in 2017,Difference with previous year
Computer Science,138,41.44144144144144,34.76923076923077,6.672210672210674
Physics and Astronomy,81,24.324324324324326,27.384615384615387,-3.0602910602910605
Geography & Environmental Sciences,56,16.816816816816818,20.307692307692307,-3.4908754908754887
Biological Sciences,53,15.915915915915916,26.769230769230766,-10.853314853314851
Electrical & Electronic Engineering,40,12.012012012012011,3.6923076923076925,8.319704319704318
Mathematics,36,10.81081081081081,9.230769230769232,1.5800415800415788
Mechanical Engineering,30,9.00900900900901,2.1538461538461537,6.855162855162856
Robotics,27,8.108108108108109,2.769230769230769,5.33887733887734
General Engineering,23,6.906906906906906,3.076923076923077,3.829983829983829
Geology,23,6.906906906906906,7.384615384615385,-0.4777084777084788
Materials Technology,22,6.606606606606606,0.3076923076923077,6.2989142989142985
Aeronautical & Manufacturing Engineering,19,5.7057057057057055,0.9230769230769231,4.782628782628782
Chemistry,16,4.804804804804805,6.153846153846154,-1.3490413490413493
Medicine,16,4.804804804804805,5.230769230769231,-0.42596442596442596
Education,15,4.504504504504505,5.230769230769231,-0.7262647262647262
Librarianship & Information Management,14,4.2042042042042045,5.538461538461538,-1.3342573342573338
German,12,3.6036036036036037,1.5384615384615385,2.065142065142065
History,12,3.6036036036036037,2.769230769230769,0.8343728343728345
Agriculture & Forestry,12,3.6036036036036037,2.1538461538461537,1.44975744975745
Communication & Media Studies,10,3.003003003003003,0.9230769230769231,2.0799260799260795
Civil Engineering,10,3.003003003003003,0.9230769230769231,2.0799260799260795
Linguistics,9,2.7027027027027026,3.076923076923077,-0.37422037422037446
Classics & Ancient History,9,2.7027027027027026,3.076923076923077,-0.37422037422037446
Economics,8,2.4024024024024024,2.769230769230769,-0.3668283668283667
Chemical Engineering,8,2.4024024024024024,1.8461538461538463,0.5562485562485562
Theology & Religious Studies,7,2.1021021021021022,1.5384615384615385,0.5636405636405637
Law,6,1.8018018018018018,0.6153846153846154,1.1864171864171864
Psychology,6,1.8018018018018018,2.769230769230769,-0.9674289674289673
Philosophy,5,1.5015015015015014,0.6153846153846154,0.886116886116886
Politics,5,1.5015015015015014,0.3076923076923077,1.1938091938091937
Art & Design,4,1.2012012012012012,0.6153846153846154,0.5858165858165858
Pharmacology & Pharmacy,4,1.2012012012012012,0.9230769230769231,0.2781242781242781
"History of Art, Architecture & Design",4,1.2012012012012012,0.9230769230769231,0.2781242781242781
Business & Management Studies,4,1.2012012012012012,0.6153846153846154,0.5858165858165858
Sociology,3,0.9009009009009009,,
Marketing,3,0.9009009009009009,0.3076923076923077,0.5932085932085932
Music,3,0.9009009009009009,0.3076923076923077,0.5932085932085932
Accounting & Finance,3,0.9009009009009009,0.9230769230769231,-0.022176022176022214
Food Science,3,0.9009009009009009,0.6153846153846154,0.2855162855162855
American Studies,3,0.9009009009009009,,
Criminology,3,0.9009009009009009,,
Land & Property Management,2,0.6006006006006006,,
Veterinary Medicine,2,0.6006006006006006,0.6153846153846154,-0.01478401478401481
English,2,0.6006006006006006,,
Middle Eastern and African Studies,2,0.6006006006006006,0.3076923076923077,0.2929082929082929
Social Work,2,0.6006006006006006,,
Anthropology,2,0.6006006006006006,0.3076923076923077,0.2929082929082929
Architecture,1,0.3003003003003003,0.3076923076923077,-0.007392007392007405
Town & Country Planning and Landscape Design,1,0.3003003003003003,0.3076923076923077,-0.007392007392007405
Sports Science,1,0.3003003003003003,0.3076923076923077,-0.007392007392007405
Anatomy & Physiology,1,0.3003003003003003,1.2307692307692308,-0.9304689304689305
Social Policy,1,0.3003003003003003,,
Russian & East European Languages,1,0.3003003003003003,,
Counselling,1,0.3003003003003003,0.6153846153846154,-0.3150843150843151
Complementary Medicine,1,0.3003003003003003,,
Physiotherapy,1,0.3003003003003003,,
Iberian Languages/Hispanic Studies,1,0.3003003003003003,0.3076923076923077,-0.007392007392007405
Dentistry,1,0.3003003003003003,,
Ophthalmics,1,0.3003003003003003,,
Nursing,1,0.3003003003003003,0.3076923076923077,-0.007392007392007405
East & South Asian Studies,1,0.3003003003003003,,
Fashion,1,0.3003003003003003,,
French,1,0.3003003003003003,0.3076923076923077,-0.007392007392007405
"Hospitality, Leisure, Recreation & Tourism",1,0.3003003003003003,,
Youth Work,1,0.3003003003003003,,
