field of work for Netherlands,Count,Percentage,Percentage in 2017,Difference with previous year
Computer Science,20,37.03703703703704,53.333333333333336,-16.296296296296298
Physics and Astronomy,15,27.77777777777778,26.666666666666668,1.1111111111111107
Biological Sciences,14,25.925925925925924,28.000000000000004,-2.0740740740740797
Medicine,11,20.37037037037037,14.666666666666666,5.703703703703704
Geography & Environmental Sciences,8,14.814814814814813,13.333333333333334,1.4814814814814792
Chemistry,5,9.25925925925926,14.666666666666666,-5.4074074074074066
Linguistics,4,7.4074074074074066,13.333333333333334,-5.925925925925927
Communication & Media Studies,3,5.555555555555555,6.666666666666667,-1.1111111111111116
Education,3,5.555555555555555,8.0,-2.4444444444444446
History,3,5.555555555555555,12.0,-6.444444444444445
Civil Engineering,2,3.7037037037037033,5.333333333333334,-1.6296296296296306
Psychology,2,3.7037037037037033,2.666666666666667,1.0370370370370363
Politics,1,1.8518518518518516,,
Philosophy,1,1.8518518518518516,1.3333333333333335,0.5185185185185182
Pharmacology & Pharmacy,1,1.8518518518518516,5.333333333333334,-3.4814814814814823
Ophthalmics,1,1.8518518518518516,,
Mathematics,1,1.8518518518518516,6.666666666666667,-4.814814814814815
Anatomy & Physiology,1,1.8518518518518516,,
"History of Art, Architecture & Design",1,1.8518518518518516,1.3333333333333335,0.5185185185185182
General Engineering,1,1.8518518518518516,1.3333333333333335,0.5185185185185182
Art & Design,1,1.8518518518518516,1.3333333333333335,0.5185185185185182
Food Science,1,1.8518518518518516,6.666666666666667,-4.814814814814815
Electrical & Electronic Engineering,1,1.8518518518518516,,
Dentistry,1,1.8518518518518516,,
Classics & Ancient History,1,1.8518518518518516,4.0,-2.1481481481481484
Chemical Engineering,1,1.8518518518518516,1.3333333333333335,0.5185185185185182
Sociology,1,1.8518518518518516,1.3333333333333335,0.5185185185185182
