Field of education for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
Physics and Astronomy,55,31.79190751445087,34.46808510638298,-2.6761775919321096
Computer Science,49,28.32369942196532,23.829787234042556,4.4939121879227635
Mathematics,15,8.670520231213873,7.659574468085106,1.0109457631287668
Biological Sciences,13,7.514450867052023,11.914893617021278,-4.400442749969255
Chemistry,10,5.780346820809249,5.106382978723404,0.6739638420858451
Geography & Environmental Sciences,8,4.624277456647398,4.680851063829787,-0.05657360718238902
Electrical & Electronic Engineering,6,3.4682080924855487,2.553191489361702,0.9150166031238469
Mechanical Engineering,4,2.312138728323699,0.851063829787234,1.4610748985364652
English,2,1.1560693641618496,0.851063829787234,0.30500553437461553
Medicine,2,1.1560693641618496,0.851063829787234,0.30500553437461553
Theology & Religious Studies,1,0.5780346820809248,0.425531914893617,0.15250276718730776
Geology,1,0.5780346820809248,1.702127659574468,-1.1240929774935433
Robotics,1,0.5780346820809248,0.425531914893617,0.15250276718730776
History,1,0.5780346820809248,0.425531914893617,0.15250276718730776
Ophthalmics,1,0.5780346820809248,,
Economics,1,0.5780346820809248,,
French,1,0.5780346820809248,,
Music,1,0.5780346820809248,,
Aeronautical & Manufacturing Engineering,1,0.5780346820809248,0.851063829787234,-0.27302914770630926
