Field of education for Australia,Count,Percentage
 Physical Sciences,27,27.835051546391753
 Information and Computing Sciences,21,21.649484536082475
 Biological Sciences,15,15.463917525773196
 Engineering,10,10.309278350515463
 Earth Sciences,8,8.24742268041237
 Mathematical Sciences,8,8.24742268041237
 Medical and Health Sciences,2,2.0618556701030926
 Technology,1,1.0309278350515463
 Studies in Creative Arts and Writing,1,1.0309278350515463
 Philosophy and Religious Studies,1,1.0309278350515463
 Psychology and Cognitive Sciences,1,1.0309278350515463
 Chemical Sciences,1,1.0309278350515463
 Environmental Sciences,1,1.0309278350515463
