Field of education for United States,Count,Percentage,Percentage in 2017,Difference with previous year
Physics and Astronomy,44,30.344827586206897,14.11042944785276,16.234398138354138
Computer Science,38,26.20689655172414,25.153374233128833,1.0535223185953058
Biological Sciences,14,9.655172413793103,14.723926380368098,-5.068753966574995
Mathematics,13,8.96551724137931,5.521472392638037,3.4440448487412727
Electrical & Electronic Engineering,6,4.137931034482759,3.067484662576687,1.0704463719060717
Geography & Environmental Sciences,4,2.7586206896551726,0.6134969325153374,2.145123757139835
Economics,2,1.3793103448275863,,
Geology,2,1.3793103448275863,2.4539877300613497,-1.0746773852337634
Music,2,1.3793103448275863,0.6134969325153374,0.7658134123122489
Chemical Engineering,2,1.3793103448275863,1.8404907975460123,-0.461180452718426
Philosophy,2,1.3793103448275863,,
Materials Technology,2,1.3793103448275863,,
History,2,1.3793103448275863,,
Mechanical Engineering,2,1.3793103448275863,4.294478527607362,-2.9151681827797757
Chemistry,2,1.3793103448275863,8.588957055214724,-7.209646710387138
Civil Engineering,1,0.6896551724137931,1.2269938650306749,-0.5373386926168817
Accounting & Finance,1,0.6896551724137931,,
Linguistics,1,0.6896551724137931,0.6134969325153374,0.07615823989845572
Psychology,1,0.6896551724137931,1.2269938650306749,-0.5373386926168817
Business & Management Studies,1,0.6896551724137931,0.6134969325153374,0.07615823989845572
Politics,1,0.6896551724137931,0.6134969325153374,0.07615823989845572
East & South Asian Studies,1,0.6896551724137931,,
Education,1,0.6896551724137931,,
