Open source use for Germany,Count,Percentage,Percentage in 2017,Difference with previous year
1 (None at all),,,,
2,19.0,6.418918918918918,6.951871657754011,-0.5329527388350925
3,17.0,5.743243243243244,4.27807486631016,1.465168376933084
4,13.0,4.391891891891892,1.06951871657754,3.322373175314352
5,15.0,5.0675675675675675,13.368983957219251,-8.301416389651685
6,7.0,2.364864864864865,5.88235294117647,-3.517488076311605
7,14.0,4.72972972972973,8.02139037433155,-3.291660644601821
8,18.0,6.081081081081082,8.55614973262032,-2.475068651539238
9,29.0,9.797297297297296,10.16042780748663,-0.3631305101893343
10 (All the time),89.0,30.067567567567565,,
